"borocode","boroname","shape_area","shape_leng"
"1","Manhattan","636631650.451","359537.866079"
"2","Bronx","1187199300.36","463147.071867"
"3","Brooklyn","1934462607.43","726953.044632"
"4","Queens","3041419178.99","887905.076018"
"5","Staten Island","1623618358.46","325912.288988"
