beat_num,beat,sector,district
0111,1,1,1
0211,1,1,2
0312,2,1,3
0414,4,1,4
0515,5,1,5
0623,3,2,6
0714,4,1,7
0823,3,2,8
0913,3,1,9
1013,3,1,10
1131,1,3,11
1223,3,2,12
1412,2,1,14
1521,1,2,15
1652,5,2,16
1713,1,3,17
1812,2,1,18
1924,4,2,19
2031,1,3,20
2233,3,3,22
2412,2,1,24
2523,3,2,25
3100,0,0,31
