"name","url"
"Schedule F (Prohibited Use of Leaf Blowers)","http://vancouver.ca/commsvcs/LICANDINSP/compliance/noise/general.htm"
"Schedule C (Refuse Collection hours in Downtown area)","http://vancouver.ca/commsvcs/LICANDINSP/compliance/noise/wastehauler/index.htm"
"Intermediate Zone",NA
